InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
142296,Concierge Services,234733,46946.6,281680,EUR,2017-01-11
940507,Waste management services,278197,55639.4,333836,CAD,2017-02-21
863864,Various paper supplies,299777,59955.4,359732,USD,2017-02-16
705584,Waste management services,229786,45957.2,275743,RON,2017-04-17
860793,Beverages and Catering,130676,26135.2,156811,EUR,2017-04-05
996033,Professional Services,20511,4102.2,24613.2,EUR,2017-04-26
262221,Concierge Services,123608,24721.6,148330,EUR,2017-04-01
410016,Concierge Services,271950,54390,326340,USD,2017-05-04
288859,Professional Services,19050,3810,22860,RON,2017-05-16
423142,Concierge Services,50384,10076.8,60460.8,USD,2017-06-05
580507,Beverages and Catering,224102,44820.4,268922,EUR,2017-08-22
876823,Waste management services,84044,16808.8,100853,USD,2017-12-18
419912,Professional Services,63695,12739,76434,USD,2017-12-19
878258,Beverages and Catering,249991,49998.2,299989,RON,2017-12-17
146407,Beverages and Catering,1172,234.4,1406.4,EUR,2017-12-26
