InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
554205,Beverages and Catering,22182,4436.4,26618.4,USD,2017-01-24
291890,Various paper supplies,238088,47617.6,285706,RON,2017-02-03
142754,IT Support,28253,5650.6,33903.6,RON,2017-03-10
598172,Waste management services,39434,7886.8,47320.8,USD,2017-04-11
930225,Professional Services,134360,26872,161232,RON,2017-04-03
847084,Professional Services,209161,41832.2,250993,EUR,2017-05-24
735686,Waste management services,56244,11248.8,67492.8,CAD,2017-06-26
645713,IT Support,71703,14340.6,86043.6,CAD,2017-09-27
855911,Various paper supplies,167174,33434.8,200609,RON,2017-09-26
522667,Concierge Services,297180,59436,356616,RON,2017-10-08
