InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
237575,IT Support,191410,38282,229692,USD,2017-01-22
484008,Professional Services,60406,12081.2,72487.2,CAD,2017-02-10
934216,Various paper supplies,133215,26643,159858,RON,2017-03-24
252542,Waste management services,212646,42529.2,255175,EUR,2017-03-16
275194,Beverages and Catering,243083,48616.6,291700,EUR,2017-06-26
801595,Professional Services,139312,27862.4,167174,RON,2017-08-02
867621,IT Support,263646,52729.2,316375,CAD,2017-08-18
586584,Professional Services,86678,17335.6,104014,RON,2017-08-04
639531,Waste management services,293870,58774,352644,EUR,2017-10-12
353513,Professional Services,201654,40330.8,241985,EUR,2017-11-20
875124,Various paper supplies,145478,29095.6,174574,RON,2017-12-11
700863,Concierge Services,237412,47482.4,284894,USD,2017-12-04
