InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
260683,IT Support,68494,13698.8,82192.8,CAD,2017-02-24
307941,Beverages and Catering,233274,46654.8,279929,CAD,2017-02-10
701927,Concierge Services,286856,57371.2,344227,RON,2017-04-23
528704,Professional Services,23616,4723.2,28339.2,RON,2017-05-15
667378,Professional Services,30857,6171.4,37028.4,USD,2017-06-02
657050,Waste management services,118626,23725.2,142351,RON,2017-07-21
591949,Waste management services,263802,52760.4,316562,RON,2017-09-03
162408,Concierge Services,60077,12015.4,72092.4,EUR,2017-11-05
972338,Beverages and Catering,27514,5502.8,33016.8,USD,2017-12-04
779841,IT Support,1519,303.8,1822.8,CAD,2017-12-28
