InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
232011,Professional Services,77676,15535.2,93211.2,CAD,2017-01-16
191321,Beverages and Catering,38018,7603.6,45621.6,USD,2017-02-08
831303,Waste management services,280944,56188.8,337133,RON,2017-02-08
259540,Concierge Services,185114,37022.8,222137,EUR,2017-03-17
537057,Professional Services,42460,8492,50952,EUR,2017-03-09
263367,Professional Services,96298,19259.6,115558,EUR,2017-03-15
830686,Professional Services,114862,22972.4,137834,CAD,2017-04-19
379570,IT Support,80274,16054.8,96328.8,USD,2017-05-06
731418,Professional Services,60673,12134.6,72807.6,CAD,2017-06-22
560953,IT Support,158401,31680.2,190081,USD,2017-06-24
911953,IT Support,7895,1579,9474,EUR,2017-06-02
688653,Concierge Services,134234,26846.8,161081,EUR,2017-07-03
766772,Waste management services,278104,55620.8,333725,CAD,2017-07-16
948794,Professional Services,242887,48577.4,291464,CAD,2017-07-02
470861,Beverages and Catering,287682,57536.4,345218,RON,2017-07-19
325204,Waste management services,30224,6044.8,36268.8,CAD,2017-07-12
300578,Concierge Services,163151,32630.2,195781,RON,2017-09-23
980950,Beverages and Catering,105432,21086.4,126518,EUR,2017-10-23
639919,Various paper supplies,191739,38347.8,230087,RON,2017-10-26
196139,Concierge Services,88880,17776,106656,EUR,2017-11-12
245813,Beverages and Catering,129334,25866.8,155201,RON,2017-12-22
